tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
tw4,20,LU8PEEng,12.402166666666666,12.3723,12.4078,12.4264,1676,8,74,OK (cached)
tw4,20,arm_core,45.53313333333333,45.0655,44.9382,46.5957,662,0,42,OK (cached)
tw4,20,bgm,53.3953,52.5079,53.5869,54.0911,2089,11,0,OK (cached)
tw4,20,stereovision1,182.484,186.292,174.868,186.292,519,40,0,OK (cached)
tw4,30,LU8PEEng,12.457366666666667,12.6457,12.5231,12.2033,1676,8,74,OK (cached)
tw4,30,arm_core,48.03523333333334,46.6828,50.5101,46.9128,662,0,42,OK (cached)
tw4,30,bgm,54.758700000000005,54.4468,54.7338,55.0955,2089,11,0,OK (cached)
tw4,30,stereovision1,178.948,176.031,179.278,181.535,519,40,0,OK (cached)
tw4,35,LU8PEEng,12.578333333333333,12.4029,12.6044,12.7277,1676,8,74,OK (cached)
tw4,35,arm_core,45.71106666666666,46.0152,44.5223,46.5957,662,0,42,OK (cached)
tw4,35,bgm,49.86323333333333,50.4624,50.8173,48.31,2089,11,0,OK (cached)
tw4,35,stereovision1,188.511,192.389,179.346,193.798,519,40,0,OK (cached)
tw4,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw4,40,arm_core,45.417399999999994,44.114,48.3268,43.8114,662,0,42,OK (cached)
tw4,40,bgm,48.65306666666667,46.6988,49.4233,49.8371,2089,11,0,OK (cached)
tw4,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
tw4,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw4,50,arm_core,45.25273333333333,44.7314,46.9128,44.114,662,0,42,OK (cached)
tw4,50,bgm,49.68376666666666,47.2364,50.4308,51.3841,2089,11,0,OK (cached)
tw4,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
tw7,0,LU8PEEng,12.467466666666667,12.5048,12.3719,12.5257,1676,8,74,OK (cached)
tw7,0,arm_core,47.8171,47.7497,47.3748,48.3268,662,0,42,OK (cached)
tw7,0,bgm,52.6064,52.3201,50.5057,54.9934,2089,11,0,OK (cached)
tw7,0,stereovision1,180.83100000000002,181.465,175.966,185.062,519,40,0,OK (cached)
tw7,10,LU8PEEng,12.467466666666667,12.5048,12.3719,12.5257,1676,8,74,OK (cached)
tw7,10,arm_core,47.8171,47.7497,47.3748,48.3268,662,0,42,OK (cached)
tw7,10,bgm,52.6064,52.3201,50.5057,54.9934,2089,11,0,OK (cached)
tw7,10,stereovision1,180.83100000000002,181.465,175.966,185.062,519,40,0,OK (cached)
tw7,20,LU8PEEng,12.298899999999998,12.3919,12.2168,12.288,1676,8,74,OK (cached)
tw7,20,arm_core,47.726800000000004,47.1403,48.9675,47.0726,662,0,42,OK (cached)
tw7,20,bgm,54.079100000000004,54.2385,54.5429,53.4559,2089,11,0,OK (cached)
tw7,20,stereovision1,178.16733333333332,176.031,169.816,188.655,519,40,0,OK (cached)
tw7,30,LU8PEEng,12.298899999999998,12.3919,12.2168,12.288,1676,8,74,OK (cached)
tw7,30,arm_core,47.726800000000004,47.1403,48.9675,47.0726,662,0,42,OK (cached)
tw7,30,bgm,54.079100000000004,54.2385,54.5429,53.4559,2089,11,0,OK (cached)
tw7,30,stereovision1,178.16733333333332,176.031,169.816,188.655,519,40,0,OK (cached)
tw7,35,LU8PEEng,12.172199999999998,12.1665,12.5277,11.8224,1676,8,74,OK (cached)
tw7,35,arm_core,47.24693333333334,47.5163,47.9904,46.2341,662,0,42,OK (cached)
tw7,35,bgm,50.770999999999994,51.1372,52.029,49.1468,2089,11,0,OK (cached)
tw7,35,stereovision1,175.76700000000002,178.139,169.816,179.346,519,40,0,OK (cached)
tw7,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw7,40,arm_core,44.91916666666666,44.2484,45.3621,45.147,662,0,42,OK (cached)
tw7,40,bgm,48.75483333333333,50.452,45.3338,50.4787,2089,11,0,OK (cached)
tw7,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
tw7,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
tw7,50,arm_core,48.1507,48.0828,49.3178,47.0515,662,0,42,OK (cached)
tw7,50,bgm,51.258633333333336,49.7267,53.0423,51.0069,2089,11,0,OK (cached)
tw7,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
