config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
512x256,512,256,fc_128_128,fc,128,128,0,0,0,0,1,1,1,True,359.496,12,12,0.322416,154.65,243.93,20055499.82533264,4099536752.346985,12162.748479192,118.8597,122.4943,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_128_128
1024x256,1024,256,fc_128_128,fc,128,128,0,0,0,0,1,1,1,True,349.703,12,12,0.322416,158.7,317.86,19543686.502757993,3146039136.7268605,16264.075866911999,188.5577,126.7287,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_128_128
128x64,128,64,fc_128_128,fc,128,128,0,0,0,0,1,2,2,True,331.576,12,12,0.322416,166.83,109.71,18591278.83466818,9114939385.653086,5901.1540290288,40.7291,66.4044,0,0,2.574,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_128_128
128x128,128,128,fc_128_128,fc,128,128,0,0,0,0,1,1,1,True,349.703,13,13,0.378391,158.7,102.34,16652608.617734622,9771350400.625366,6145.583694978,37.0097,62.7613,0,0,2.574,8,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_128_128
1024x128,1024,128,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,382.28,172.78,11683267.733342782,5787706910.522051,14788.670767759997,101.6392,64.7594,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_512_128
512x128,512,128,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,326.002,10,10,0.2239,405.7,143.34,11008823.241563417,6976419701.409237,13020.4652082,68.9861,67.9711,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_512_128
512x64,512,64,fc_512_128,fc,512,128,0,0,0,0,1,2,2,True,293.654,10,10,0.2239,449.29,167.05,9940750.048080923,5986231667.165519,16804.56697855,84.2461,76.4161,0,0,6.3854999999999995,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_512_128
512x256,512,256,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,12,12,0.322416,382.28,256.78,8113380.3703769315,3894384297.8425117,31648.953737894393,123.3135,127.0842,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_512_128
1024x256,1024,256,fc_512_128,fc,512,128,0,0,0,0,1,1,1,True,346.512,12,12,0.322416,382.28,324.58,8113380.3703769315,3080904553.5769305,40005.51991683839,190.2941,127.8957,0,0,6.3854999999999995,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_512_128
256x128,256,128,fc_512_128,fc,512,128,0,0,0,0,2,1,2,False,253.671,10,10,0.2239,554.01,375.59,8061730.996015015,2662477701.749248,46589.24990000999,127.1316,173.5957,10.8779,57.6,6.3854999999999995,12,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_512_128
256x64,256,64,fc_512_128,fc,512,128,0,0,0,0,2,2,4,False,272.518,14,14,0.438844,516.39,364.08,4412777.311862335,2746649088.112503,82505.8629224928,126.5942,162.6219,10.8779,57.6,6.3854999999999995,12,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_512_128
1024x64,1024,64,fc_128_128,fc,128,128,0,0,0,0,1,2,2,True,312.747,24,24,1.289664,176.27,203.12,4398909.411680508,4923198109.491926,46175.0813646336,126.9985,73.5492,0,0,2.574,7,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_128_128
512x256,512,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,293.654,14,14,0.438844,537.83,598.61,4236866.809349777,1670536743.4556723,141286.00849075723,291.02,299.919,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_256_512
256x256,256,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,291.401,14,14,0.438844,541.91,522.57,4204967.754927184,1913619228.0460033,124274.43691754281,213.6218,301.2728,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_256_512
256x256,256,256,fc_512_128,fc,512,128,0,0,0,0,2,1,2,False,247.285,14,14,0.438844,568.06,681.62,4011396.8173654033,1467093101.7282357,169920.8607458768,251.7322,355.0203,10.8779,57.6,6.3854999999999995,12,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x256/fc_512_128
512x256,512,256,fc_512_512,fc,512,512,0,0,0,0,1,2,2,True,312.747,14,14,0.438844,668.68,565.06,3407779.61965752,1769723569.1784945,165814.71311715516,273.2535,281.6091,0,0,10.197,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_512_512
256x128,256,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,312.747,18,18,0.725436,505.61,495.52,2726372.806434202,2018082014.8530836,181750.6391020992,206.2344,281.6091,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_256_512
1024x256,1024,256,fc_256_512,fc,256,512,0,0,0,0,1,2,2,True,310.193,18,18,0.725436,509.69,718.56,2704548.558263252,1391672233.3556,265685.7455210304,425.1495,285.7408,0,0,7.672499999999999,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_256_512
1024x256,1024,256,fc_512_512,fc,512,512,0,0,0,0,1,2,2,True,334.496,18,18,0.725436,625.85,669.44,2202574.6659122743,1493785850.8604205,303935.212894464,394.26,264.9801,0,0,10.197,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_512_512
1024x64,1024,64,fc_512_128,fc,512,128,0,0,0,0,1,2,2,True,334.496,24,24,1.289664,395.65,193.89,1959802.2545101056,5157563566.9709635,98933.45083862398,118.741,68.767,0,0,6.3854999999999995,8,0,4,2,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_512_128
512x128,512,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,312.747,22,22,1.083676,505.61,578.72,1825092.5398443828,1727951340.8902404,317090.77066817926,287.6395,283.4074,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_256_512
512x64,512,64,fc_256_512,fc,256,512,0,0,0,0,1,8,8,True,326.692,25,25,1.399375,484.45,585.33,1475084.5995590142,1708437975.1593118,396811.13895093754,302.9055,274.753,0,0,7.672499999999999,7,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_256_512
256x64,256,64,fc_256_512,fc,256,512,0,0,0,0,1,8,8,True,312.747,25,25,1.399375,505.61,511.7,1413351.66285549,1954270080.1250734,362047.191401875,220.6205,283.4074,0,0,7.672499999999999,7,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x64/fc_256_512
1024x128,1024,128,fc_256_512,fc,256,512,0,0,0,0,1,4,4,True,334.496,26,26,1.513564,473.38,697.18,1395691.0873053805,1434349809.2314756,499523.14401177753,421.1614,268.3428,0,0,7.672499999999999,7,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_256_512
512x128,512,128,fc_512_512,fc,512,512,0,0,0,0,1,4,4,True,312.747,22,22,1.083676,668.68,581.24,1380009.9286216404,1720459706.8336658,421185.3755143232,287.6395,283.4074,0,0,10.197,8,0,4,4,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_512_512
128x64,128,64,fc_512_128,fc,512,128,0,0,0,0,4,2,8,False,183.938,24,24,1.289664,765.69,869.12,1012675.8374759017,1150589101.6200294,858241.0756104192,293.6816,478.8157,32.6337,57.6,6.3854999999999995,19,0,4,8,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_512_128
