config,d_pct,c_pct,workload,P,fmax_mhz,eff_latency_ns,dpe_area_pct,fmax_seed1,fmax_seed2,fmax_seed3,status
1024x128,80,20,fc_2048_256,3,137.16666666666666,2.4301336573511545,13.750000000000002,141.785,137.228,132.487,OK (cached)
1024x128,80,20,fc_512_128,3,144.319,2.3096981917372856,13.750000000000002,143.69,145.183,144.084,OK (cached)
1024x128,80,20,fc_512_512,3,136.24666666666667,2.44654303469198,13.750000000000002,141.448,134.51,132.782,OK (cached)
1024x128,80,40,fc_2048_256,3,132.52866666666668,2.5151791059041315,27.500000000000004,136.715,129.461,131.41,OK (cached)
1024x128,80,40,fc_512_128,3,137.67066666666668,2.4212371553368905,27.500000000000004,137.001,140.741,135.27,OK (cached)
1024x128,80,40,fc_512_512,3,126.27866666666667,2.6396646570019744,27.500000000000004,130.85,121.599,126.387,OK (cached)
1024x128,80,60,fc_2048_256,3,125.16133333333335,2.663229325350747,41.25,135.591,121.455,118.438,OK (cached)
1024x128,80,60,fc_512_128,3,132.905,2.508057133541502,41.25,136.542,132.773,129.4,OK (cached)
1024x128,80,60,fc_512_512,3,131.88766666666666,2.527403371050616,41.25,131.074,134.988,129.601,OK (cached)
1024x256,0,40,fc_2048_256,3,129.00333333333333,2.5839125603989563,10.5,126.037,131.435,129.538,OK
1024x256,0,40,fc_512_128,6,137.53633333333335,1.2118010028865098,10.5,135.591,139.477,137.541,OK
1024x256,0,40,fc_512_512,3,143.90066666666667,2.316412710619826,10.5,142.507,144.793,144.402,OK
1024x256,0,60,fc_2048_256,3,129.813,2.567796240232745,10.5,128.346,130.111,130.982,OK
1024x256,0,60,fc_512_128,6,134.00233333333333,1.2437594370247287,10.5,137.007,132.496,132.504,OK
1024x256,0,60,fc_512_512,3,141.92766666666668,2.348614200191177,10.5,144.487,144.068,137.228,OK
1024x256,20,40,fc_2048_256,3,124.82766666666667,2.6703481867000636,10.5,123.563,123.824,127.096,OK
1024x256,20,40,fc_512_128,6,136.58333333333334,1.2202562538133008,10.5,133.262,140.23,136.258,OK
1024x256,20,40,fc_512_512,3,136.60866666666666,2.4400599278718285,10.5,140.378,139.009,130.439,OK
1024x256,20,60,fc_2048_256,3,130.69566666666665,2.5504543634448478,10.5,130.545,127.355,134.187,OK
1024x256,20,60,fc_512_128,6,131.92566666666667,1.26333768763723,10.5,137.793,125.313,132.671,OK
1024x256,20,60,fc_512_512,3,140.95399999999998,2.3648377011885677,10.5,138.145,144.487,140.23,OK
1024x256,40,0,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,40,0,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,40,0,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,40,20,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,40,20,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,40,20,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,40,40,fc_2048_256,6,123.23700000000001,1.3524076914130225,21.0,127.952,119.092,122.667,OK
1024x256,40,40,fc_512_128,7,125.24866666666667,1.1405881328648304,21.0,122.621,127.275,125.85,OK
1024x256,40,40,fc_512_512,6,134.76366666666667,1.236732947307756,21.0,133.817,134.338,136.136,OK
1024x256,40,60,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,40,60,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,40,60,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,60,0,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,60,0,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,60,0,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,60,20,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,60,20,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,60,20,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,60,40,fc_2048_256,6,123.23700000000001,1.3524076914130225,21.0,127.952,119.092,122.667,OK
1024x256,60,40,fc_512_128,7,125.24866666666667,1.1405881328648304,21.0,122.621,127.275,125.85,OK
1024x256,60,40,fc_512_512,6,134.76366666666667,1.236732947307756,21.0,133.817,134.338,136.136,OK
1024x256,60,60,fc_2048_256,3,130.37,2.556825445526834,10.5,127.927,126.477,136.706,OK
1024x256,60,60,fc_512_128,6,136.34733333333332,1.2223683631509723,10.5,137.725,134.176,137.141,OK
1024x256,60,60,fc_512_512,3,145.03133333333332,2.2983539189232673,10.5,148.962,140.939,145.193,OK
1024x256,80,0,fc_2048_256,3,122.884,2.712585310808025,21.0,127.096,123.824,117.732,OK
1024x256,80,0,fc_512_128,3,128.525,2.5935291447837643,21.0,130.253,117.62,137.702,OK
1024x256,80,0,fc_512_512,3,138.68533333333332,2.4035226027265564,21.0,150.452,132.636,132.968,OK
1024x256,80,20,fc_2048_256,3,122.884,2.712585310808025,21.0,127.096,123.824,117.732,OK
1024x256,80,20,fc_512_128,3,128.525,2.5935291447837643,21.0,130.253,117.62,137.702,OK
1024x256,80,20,fc_512_512,3,138.68533333333332,2.4035226027265564,21.0,150.452,132.636,132.968,OK
1024x256,80,40,fc_2048_256,3,122.884,2.712585310808025,21.0,127.096,123.824,117.732,OK
1024x256,80,40,fc_512_128,3,128.525,2.5935291447837643,21.0,130.253,117.62,137.702,OK
1024x256,80,40,fc_512_512,3,138.68533333333332,2.4035226027265564,21.0,150.452,132.636,132.968,OK
1024x256,80,60,fc_2048_256,3,122.884,2.712585310808025,21.0,127.096,123.824,117.732,OK
1024x256,80,60,fc_512_128,3,128.525,2.5935291447837643,21.0,130.253,117.62,137.702,OK
1024x256,80,60,fc_512_512,3,138.68533333333332,2.4035226027265564,21.0,150.452,132.636,132.968,OK
1024x64,0,40,fc_2048_256,4,nan,inf,18.0,nan,nan,nan,FAILED
1024x64,0,40,fc_512_128,7,135.34233333333333,1.0555244566775819,18.0,134.51,142.285,129.232,OK
1024x64,0,40,fc_512_512,4,nan,inf,18.0,nan,nan,nan,FAILED
1024x64,0,60,fc_2048_256,6,nan,inf,27.0,nan,nan,nan,FAILED
1024x64,0,60,fc_512_128,7,132.78366666666668,1.0758638200266313,27.0,137.228,126.785,134.338,OK
