tg,budget_pct,benchmark,fmax_mhz,fmax_seed1,fmax_seed2,fmax_seed3,clb,dsp_top,memory,status
128x128,20,LU8PEEng,12.213166666666666,12.2869,12.3523,12.0003,1676,8,74,OK
128x128,20,arm_core,46.73996666666667,44.8575,47.5163,47.8461,662,0,42,OK
128x128,20,bgm,53.64286666666667,54.453,54.0567,52.4189,2089,11,0,OK
128x128,20,stereovision1,184.447,188.655,188.655,176.031,519,40,0,OK
128x128,30,LU8PEEng,12.2202,12.2247,12.2401,12.1958,1676,8,74,OK
128x128,30,arm_core,45.4195,44.9383,45.1513,46.1689,662,0,42,OK
128x128,30,bgm,52.378166666666665,54.1073,50.5254,52.5018,2089,11,0,OK
128x128,30,stereovision1,181.957,184.99,179.346,181.535,519,40,0,OK
128x128,35,LU8PEEng,12.003766666666666,12.0479,11.7602,12.2032,1676,8,74,OK
128x128,35,arm_core,44.168733333333336,43.7131,43.5133,45.2798,662,0,42,OK
128x128,35,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x128,35,stereovision1,177.81266666666667,185.062,166.841,181.535,519,40,0,OK
128x128,40,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
128x128,40,arm_core,44.6119,44.3193,45.2798,44.2366,662,0,42,OK
128x128,40,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x128,40,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
128x128,50,LU8PEEng,nan,nan,nan,nan,0,0,0,FAILED
128x128,50,arm_core,44.6119,44.3193,45.2798,44.2366,662,0,42,OK
128x128,50,bgm,nan,nan,nan,nan,0,0,0,FAILED
128x128,50,stereovision1,nan,nan,nan,nan,0,0,0,FAILED
128x64,0,LU8PEEng,12.451,12.4644,12.5693,12.3193,1676,8,74,OK
128x64,0,arm_core,46.466633333333334,46.4596,44.8575,48.0828,662,0,42,OK
128x64,0,bgm,54.38216666666667,55.4408,54.7636,52.9421,2089,11,0,OK
128x64,0,stereovision1,183.9093333333333,182.718,182.718,186.292,519,40,0,OK
128x64,10,LU8PEEng,12.1982,12.0592,12.0564,12.479,1676,8,74,OK
128x64,10,arm_core,47.818000000000005,45.1513,49.8287,48.474,662,0,42,OK
128x64,10,bgm,53.10320000000001,52.2424,52.5305,54.5367,2089,11,0,OK
128x64,10,stereovision1,182.78533333333334,182.718,179.346,186.292,519,40,0,OK
128x64,20,LU8PEEng,12.309199999999999,12.382,12.3268,12.2188,1676,8,74,OK
128x64,20,arm_core,47.211099999999995,45.7939,46.0107,49.8287,662,0,42,OK
128x64,20,bgm,51.8881,50.5867,52.1763,52.9013,2089,11,0,OK
