dsp_ratio,clb_ratio,config,workload,P,total_dpes,V,H,dpes_per_replica,clbs_need,clbs_avail,clb_util_pct,fmax_mhz,fmax_baseline_mhz,gain,utilization,energy_pj,energy_baseline_pj,energy_ratio,tpj_scaling,grid_w,grid_h,clb_count,dsp_count,mem_count,wc_count,run_dir
0.4,0.0,512x256,fc_2048_256,4,18,4,1,4,150,10978,1.4,155.9523333333333,135.24833333333333,4.6123,1.1531,2428.78,2769.45,1.1403,1.3148,120,120,82,0,24,16,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c0/fc_2048_256
0.4,0.2,512x256,fc_2048_256,9,36,4,1,4,300,8782,3.4,152.343,135.24833333333333,10.1376,1.1264,2481.51,2769.45,1.116,1.2571,120,120,186,0,54,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c20/fc_2048_256
0.4,0.4,512x256,fc_2048_256,13,54,4,1,4,420,6586,6.4,119.70333333333333,135.24833333333333,11.5058,0.8851,3102.7,2769.45,0.8926,0.79,120,120,264,0,78,52,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c40/fc_2048_256
0.4,0.6,512x256,fc_2048_256,24,99,4,1,4,750,4391,17.1,140.69066666666666,135.24833333333333,24.9657,1.0402,2670.19,2769.45,1.0372,1.0789,120,120,480,0,144,96,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d40_c60/fc_2048_256
0.6,0.0,512x256,fc_2048_256,9,36,4,1,4,300,10978,2.7,156.79066666666668,135.24833333333333,10.4335,1.1593,2416.88,2769.45,1.1459,1.3284,120,120,186,0,54,36,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c0/fc_2048_256
0.6,0.2,512x256,fc_2048_256,13,54,4,1,4,420,8782,4.8,113.80633333333333,135.24833333333333,10.939,0.8415,3252.93,2769.45,0.8514,0.7164,120,120,264,0,78,52,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c20/fc_2048_256
0.6,0.4,512x256,fc_2048_256,18,72,4,1,4,570,6586,8.7,128.317,135.24833333333333,17.0775,0.9488,2908.07,2769.45,0.9523,0.9035,120,120,373,0,108,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c40/fc_2048_256
0.6,0.6,512x256,fc_2048_256,27,108,4,1,4,840,4391,19.1,133.196,135.24833333333333,26.5903,0.9848,2808.99,2769.45,0.9859,0.971,120,120,572,0,162,108,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d60_c60/fc_2048_256
0.8,0.0,512x256,fc_2048_256,11,45,4,1,4,360,10978,3.3,160.25666666666666,135.24833333333333,13.034,1.1849,2369.01,2769.45,1.169,1.3852,120,120,234,0,66,44,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c0/fc_2048_256
0.8,0.2,512x256,fc_2048_256,15,63,4,1,4,480,8782,5.5,149.479,135.24833333333333,16.5783,1.1052,2525.16,2769.45,1.0967,1.2121,120,120,301,0,90,60,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c20/fc_2048_256
0.8,0.4,512x256,fc_2048_256,20,81,4,1,4,630,6586,9.6,145.14433333333332,135.24833333333333,21.4634,1.0732,2594.5,2769.45,1.0674,1.1455,120,120,396,0,120,80,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c40/fc_2048_256
0.8,0.6,512x256,fc_2048_256,29,117,4,1,4,900,4391,20.5,141.23766666666666,135.24833333333333,30.2842,1.0443,2660.64,2769.45,1.0409,1.087,120,120,571,0,174,116,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d80_c60/fc_2048_256
1.0,0.0,512x256,fc_2048_256,15,63,4,1,4,480,10978,4.4,141.08666666666667,135.24833333333333,15.6475,1.0432,2663.27,2769.45,1.0399,1.0848,120,120,301,0,90,60,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c0/fc_2048_256
1.0,0.2,512x256,fc_2048_256,18,72,4,1,4,570,8782,6.5,119.57066666666667,135.24833333333333,15.9135,0.8841,3105.91,2769.45,0.8917,0.7883,120,120,373,0,108,72,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c20/fc_2048_256
1.0,0.4,512x256,fc_2048_256,22,90,4,1,4,690,6586,10.5,138.80100000000002,135.24833333333333,22.5779,1.0263,2703.77,2769.45,1.0243,1.0512,120,120,452,0,132,88,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round2_full/512x256/d100_c40/fc_2048_256
