config,rows,cols,workload,wl_type,K,N,n_seq,d_head,h_dimm,dimm_dpes,V,H,dpe_count,acam_eligible,fmax_mhz,grid_w,grid_h,fpga_area_mm2,latency_ns,energy_pj,throughput_per_mm2,throughput_per_J,edap,e_imc_vmm,e_imc_digital,e_clb_reduction,e_clb_activation,e_sram,clb_count,dsp_count,mem_count,wc_count,run_dir
128x64,128,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,52.54,52525927.19160623,19033117624.66692,1000.2679211799999,19.4868,31.771,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x64/fc_64_64
512x64,512,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,69.36,52525927.19160623,14417531718.56978,1320.49073112,35.6975,32.3797,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x64/fc_64_64
512x128,512,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,130.14,52525927.19160623,7684032580.2981415,2477.6335603799994,64.9028,63.9479,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x128/fc_64_64
1024x64,1024,64,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,10,10,0.2239,85.03,91.79,52525927.19160623,10894432944.765224,1747.5179384300002,57.3117,33.1912,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x64/fc_64_64
128x128,128,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,11,11,0.270919,85.03,101.98,43409857.183145635,9805844283.192783,2349.2360172886006,37.3505,63.3392,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x128/fc_64_64
128x256,128,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,12,12,0.322416,85.03,202.67,36476338.32750433,4934129372.872157,5556.204632721599,74.701,126.6784,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/128x256/fc_64_64
256x128,256,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,12,12,0.322416,85.03,111.36,36476338.32750433,8979885057.471264,3052.9380169727997,46.5346,63.5421,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/256x128/fc_64_64
1024x128,1024,128,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,389.801,13,13,0.378391,76.7,149.21,34455919.00436094,6701963675.356879,4330.460609137001,90.3517,57.5676,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x128/fc_64_64
512x256,512,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,373.413,14,14,0.438844,79.63,233.65,28616276.22846403,4279905842.0714746,8164.933764778,114.4299,117.9289,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/512x256/fc_64_64
1024x256,1024,256,fc_64_64,fc,64,64,0,0,0,0,1,1,1,True,346.512,14,14,0.438844,85.03,319.48,26798942.444697052,3130086390.3843746,11921.365951633601,190.2941,127.8957,0,0,1.287,7,0,4,1,/mnt/vault0/jiajunh5/nl-dpe-fpl/dse/round1/1024x256/fc_64_64
